Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004
Country_141,C141,Indicator,I,497761,502343,123602,248255,971594
Country_142,C142,Indicator,I,813780,179834,747010,250561,625282
Country_143,C143,Indicator,I,425156,241121,225345,91595,456744
Country_144,C144,Indicator,I,164824,759620,615458,302261,479987
Country_145,C145,Indicator,I,820481,60320,643654,585439,565211
Country_146,C146,Indicator,I,159835,563931,305753,797558,752152
Country_147,C147,Indicator,I,861979,13293,171002,574984,703302
Country_148,C148,Indicator,I,254516,300966,987869,9943,993453
Country_149,C149,Indicator,I,522635,658011,507528,5367,338165
Country_150,C150,Indicator,I,271466,351925,404646,648016,616824
Country_151,C151,Indicator,I,857204,573035,687354,937507,232823
Country_152,C152,Indicator,I,415410,971579,399689,724009,200667
Country_153,C153,Indicator,I,421667,799169,286533,918679,286069
Country_154,C154,Indicator,I,285964,676681,388148,655074,9579
Country_155,C155,Indicator,I,647396,318160,945183,743951,982900
Country_156,C156,Indicator,I,361110,142398,443895,823046,504905
Country_157,C157,Indicator,I,296206,956329,423498,158909,758224
Country_158,C158,Indicator,I,136653,197255,85021,124243,748135
Country_159,C159,Indicator,I,139283,621957,683898,257780,164588
Country_160,C160,Indicator,I,408506,999401,871715,427334,851310
Country_161,C161,Indicator,I,639901,939506,702205,922766,545138
Country_162,C162,Indicator,I,774112,875199,814452,735922,838162
Country_163,C163,Indicator,I,243344,594630,107941,566218,575978
Country_164,C164,Indicator,I,13062,436842,253238,804389,42048
Country_165,C165,Indicator,I,889516,803928,734767,807807,894137
Country_166,C166,Indicator,I,895576,609876,459640,198746,145505
Country_167,C167,Indicator,I,992447,37588,280940,91180,74117
Country_168,C168,Indicator,I,253045,637062,594248,86152,778845
Country_169,C169,Indicator,I,634559,913540,960369,111763,677835
Country_170,C170,Indicator,I,984095,971196,258551,132523,492252
Country_171,C171,Indicator,I,206770,497179,183498,575091,577061
Country_172,C172,Indicator,I,133468,898641,551315,385491,379468
Country_173,C173,Indicator,I,68086,985880,900790,642647,796668
Country_174,C174,Indicator,I,893184,22686,15882,871189,223846
Country_175,C175,Indicator,I,85571,64486,951133,635542,984497
Country_176,C176,Indicator,I,700645,14756,835329,173950,870444
Country_177,C177,Indicator,I,431202,391656,155500,999730,673096
Country_178,C178,Indicator,I,772845,937034,854812,538897,620651
Country_179,C179,Indicator,I,611436,996890,252338,98353,490681
Country_180,C180,Indicator,I,762089,760004,610005,610245,691953
Country_181,C181,Indicator,I,503178,383742,537653,28873,250452
Country_182,C182,Indicator,I,714170,8920,160429,760299,983956
Country_183,C183,Indicator,I,588596,556350,68539,250194,922493
Country_184,C184,Indicator,I,838102,187236,95493,893776,827941
Country_185,C185,Indicator,I,50323,348617,336046,709188,493954
Country_186,C186,Indicator,I,256724,686712,799606,860017,33803
Country_187,C187,Indicator,I,184571,987842,812771,145596,362472
Country_188,C188,Indicator,I,984900,361577,469877,999456,645765
Country_189,C189,Indicator,I,961346,579255,523348,126200,203208
Country_190,C190,Indicator,I,643745,294279,89276,582335,384870
Country_191,C191,Indicator,I,132437,22410,980381,901292,595874
Country_192,C192,Indicator,I,54242,345901,703731,60659,410649
Country_193,C193,Indicator,I,553923,248447,12493,796748,931985
Country_194,C194,Indicator,I,783201,753400,274521,732097,891022
Country_195,C195,Indicator,I,841646,56309,189196,558183,3948
Country_196,C196,Indicator,I,68835,382375,903729,489221,455313
Country_197,C197,Indicator,I,9941,727145,626132,902006,449179
Country_198,C198,Indicator,I,319448,974287,62278,438075,146647
Country_199,C199,Indicator,I,157508,338055,173850,640630,467098
Country_200,C200,Indicator,I,477795,742598,566943,462292,597071
Country_201,C201,Indicator,I,586769,815609,488032,969245,910940
Country_202,C202,Indicator,I,248489,756630,980921,548338,551984
Country_203,C203,Indicator,I,600049,805654,830249,462209,289393
Country_204,C204,Indicator,I,82931,777474,200195,112367,225960
Country_205,C205,Indicator,I,510404,495604,556892,757768,832016
Country_206,C206,Indicator,I,509304,948364,876531,276260,53994
Country_207,C207,Indicator,I,147650,485231,222820,6496,307021
Country_208,C208,Indicator,I,667382,306343,651484,982143,670808
Country_209,C209,Indicator,I,780999,262085,780897,116743,140286
Country_210,C210,Indicator,I,424869,744488,834289,484435,152958
Country_211,C211,Indicator,I,567470,484883,235705,830829,328998
Country_212,C212,Indicator,I,963534,205178,627906,276430,862942
Country_213,C213,Indicator,I,158857,710311,21372,519599,384465
Country_214,C214,Indicator,I,362069,733638,156004,495627,875032
Country_215,C215,Indicator,I,548935,532959,641471,276029,297101
Country_216,C216,Indicator,I,664942,104098,870368,686199,501317
Country_217,C217,Indicator,I,676193,718576,881712,694971,75441
Country_218,C218,Indicator,I,214537,153321,947430,428755,466633
Country_219,C219,Indicator,I,898327,193703,34128,389053,268267
Country_220,C220,Indicator,I,300597,612129,281853,658992,179158
Country_221,C221,Indicator,I,731398,203088,389291,410331,73434
Country_222,C222,Indicator,I,20689,478861,814876,329885,147692
Country_223,C223,Indicator,I,863214,616852,83962,832949,966784
Country_224,C224,Indicator,I,369957,252097,121748,160710,378538
Country_225,C225,Indicator,I,56275,663849,786847,901656,789724
Country_226,C226,Indicator,I,940145,945159,525809,377221,287929
Country_227,C227,Indicator,I,588683,195907,384719,792703,936555
Country_228,C228,Indicator,I,164237,837386,816762,65954,814366
Country_229,C229,Indicator,I,684966,152842,85524,763664,144513
Country_230,C230,Indicator,I,765526,525206,188179,275598,265191
Country_231,C231,Indicator,I,421857,553445,840486,736166,32318
Country_232,C232,Indicator,I,405957,710292,803037,844771,680039
Country_233,C233,Indicator,I,398681,391987,668967,755558,377939
Country_234,C234,Indicator,I,839699,285806,58357,503941,310009
Country_235,C235,Indicator,I,939752,183976,717526,389332,153876
Country_236,C236,Indicator,I,939514,799483,442970,456544,34450
Country_237,C237,Indicator,I,508604,767435,188179,72737,681312
Country_238,C238,Indicator,I,970104,611274,760671,436141,574599
Country_239,C239,Indicator,I,554808,63734,756567,40303,116674
Country_240,C240,Indicator,I,271414,96222,641562,91844,253516
Country_241,C241,Indicator,I,470261,182962,279114,806751,867833
Country_242,C242,Indicator,I,580715,569233,649988,241646,332794
Country_243,C243,Indicator,I,350922,800390,930858,390099,607287
Country_244,C244,Indicator,I,653457,602119,147933,440142,350849
Country_245,C245,Indicator,I,182668,908156,826285,109582,723081
Country_246,C246,Indicator,I,72047,426554,700713,877835,791531
Country_247,C247,Indicator,I,604869,566314,658086,953726,331906
Country_248,C248,Indicator,I,856087,330407,647117,538477,857792
Country_249,C249,Indicator,I,318828,56357,203959,623568,48897
Country_250,C250,Indicator,I,663140,595484,487134,17934,964356
Country_251,C251,Indicator,I,76156,332579,715955,406299,715730
Country_252,C252,Indicator,I,964300,518946,38046,435952,231963
Country_253,C253,Indicator,I,197644,184044,173666,431872,723685
Country_254,C254,Indicator,I,656337,57872,429288,216506,298864
Country_255,C255,Indicator,I,299933,535832,832582,18005,481889
Country_256,C256,Indicator,I,190878,154056,668199,350484,185261
Country_257,C257,Indicator,I,505126,22879,310767,968805,706399
Country_258,C258,Indicator,I,683976,755379,368490,415549,801753
Country_259,C259,Indicator,I,618179,965750,790180,831534,959545
Country_260,C260,Indicator,I,997425,856841,922207,175349,552237
Country_261,C261,Indicator,I,768639,163200,963614,316942,973259
Country_262,C262,Indicator,I,976170,590277,473063,210967,808564
Country_263,C263,Indicator,I,321714,545613,719684,535059,693418
Country_264,C264,Indicator,I,737491,622521,966257,420352,343440
Country_265,C265,Indicator,I,490514,170838,156189,235641,367488
Country_266,C266,Indicator,I,89036,539240,667728,298325,875582
Country_267,C267,Indicator,I,780679,765869,91124,522581,968394
Country_268,C268,Indicator,I,571774,663725,880511,49178,835994
Country_269,C269,Indicator,I,671091,750253,846590,900920,947577
Country_270,C270,Indicator,I,607745,722672,194165,892227,929149
Country_271,C271,Indicator,I,553369,996942,920671,852692,791542
Country_272,C272,Indicator,I,683848,729586,543550,999934,332837
Country_273,C273,Indicator,I,263279,388358,381271,575074,493445
Country_274,C274,Indicator,I,679497,90497,170181,573678,661639
Country_275,C275,Indicator,I,724939,99365,971915,143691,933613
Country_276,C276,Indicator,I,142197,386510,693899,401011,485729
Country_277,C277,Indicator,I,566214,989966,685893,293394,469608
Country_278,C278,Indicator,I,205034,301783,494260,587799,601483
Country_279,C279,Indicator,I,614283,387426,7064,812512,139206
Country_280,C280,Indicator,I,450173,606348,512908,620178,352883
Country_281,C281,Indicator,I,771703,540382,357404,705581,209757
Country_282,C282,Indicator,I,350053,378843,880859,44829,808269
Country_283,C283,Indicator,I,169184,518516,734494,142712,330058
Country_284,C284,Indicator,I,413256,132063,850544,202486,644110
Country_285,C285,Indicator,I,465379,120933,284914,233051,357834
Country_286,C286,Indicator,I,412575,673636,56517,202140,358959
Country_287,C287,Indicator,I,849383,266414,766269,373554,645291
Country_288,C288,Indicator,I,901721,419004,688385,244177,343338
Country_289,C289,Indicator,I,349730,611780,242783,395088,781854
Country_290,C290,Indicator,I,634077,847440,687454,940317,870708
Country_291,C291,Indicator,I,456739,531085,707201,788989,180379
Country_292,C292,Indicator,I,913321,891732,961373,670956,318170
Country_293,C293,Indicator,I,303610,875905,639629,98251,276145
Country_294,C294,Indicator,I,979630,66362,644647,764267,127466
Country_295,C295,Indicator,I,690692,995061,833038,919160,809478
Country_296,C296,Indicator,I,398576,214111,165642,974193,215468
Country_297,C297,Indicator,I,711288,422483,866189,517465,906719
Country_298,C298,Indicator,I,726626,175206,903859,82519,822602
Country_299,C299,Indicator,I,831257,560426,982819,344845,844814
Country_300,C300,Indicator,I,565667,296800,811679,92854,574591
Country_301,C301,Indicator,I,560619,284977,619885,373991,759761
Country_302,C302,Indicator,I,132925,732532,146644,660093,978289
Country_303,C303,Indicator,I,773358,661955,870489,866130,220607
Country_304,C304,Indicator,I,926526,463559,12267,789811,312083
Country_305,C305,Indicator,I,967357,401985,754798,406540,121701
Country_306,C306,Indicator,I,784475,715130,233579,489793,742717
Country_307,C307,Indicator,I,573391,591742,878131,662000,482997
Country_308,C308,Indicator,I,902487,445806,618801,555423,723818
Country_309,C309,Indicator,I,402110,917332,163743,132082,567813
Country_310,C310,Indicator,I,223443,649042,710921,837505,331615
Country_311,C311,Indicator,I,697849,829978,297485,3237,74421
Country_312,C312,Indicator,I,73969,691528,253865,336046,711793
Country_313,C313,Indicator,I,656973,372324,571767,243695,409408
Country_314,C314,Indicator,I,490622,354161,895976,557552,268195
Country_315,C315,Indicator,I,711151,594255,839059,777917,280008
Country_316,C316,Indicator,I,110592,367196,827089,181455,341137
Country_317,C317,Indicator,I,915082,293111,359937,721518,362879
Country_318,C318,Indicator,I,54502,60716,984642,251966,695870
Country_319,C319,Indicator,I,546217,76458,986452,789336,250217
Country_320,C320,Indicator,I,568142,472196,642235,828921,756755
Country_321,C321,Indicator,I,828037,498842,593845,256468,89587
Country_322,C322,Indicator,I,220344,692219,609158,681694,825501
Country_323,C323,Indicator,I,775449,944083,870781,436390,638561
Country_324,C324,Indicator,I,497499,98161,58072,32692,867069
Country_325,C325,Indicator,I,773028,726923,423089,975167,591275
Country_326,C326,Indicator,I,136187,384919,44828,307008,758744
Country_327,C327,Indicator,I,765227,234974,931880,553972,115081
Country_328,C328,Indicator,I,54994,611609,72904,876195,272957
Country_329,C329,Indicator,I,692910,919816,144546,650945,872638
Country_330,C330,Indicator,I,649902,193760,397952,518687,205683
Country_331,C331,Indicator,I,623715,989656,347164,526113,68528
Country_332,C332,Indicator,I,974980,297658,609540,254998,124970
Country_333,C333,Indicator,I,743950,269662,92988,462701,908741
Country_334,C334,Indicator,I,993192,213523,999407,91331,650066
Country_335,C335,Indicator,I,178751,515138,664147,279690,281570
Country_336,C336,Indicator,I,985255,390021,651370,238496,27052
Country_337,C337,Indicator,I,594141,59541,624843,636850,253132
Country_338,C338,Indicator,I,60844,888015,812606,373373,159564
Country_339,C339,Indicator,I,266911,762832,812773,610525,328575
Country_340,C340,Indicator,I,183527,8402,140569,282513,151008
Country_341,C341,Indicator,I,995279,487539,23965,243110,801103
Country_342,C342,Indicator,I,883207,1317,879543,967450,892357
Country_343,C343,Indicator,I,31653,120837,393411,941371,54398
Country_344,C344,Indicator,I,328598,50142,438140,107871,616426
Country_345,C345,Indicator,I,794546,906228,155042,391618,408631
Country_346,C346,Indicator,I,286002,842846,336802,908025,225884
Country_347,C347,Indicator,I,12621,910528,755969,78535,74471
Country_348,C348,Indicator,I,693773,405527,769741,363024,621418
Country_349,C349,Indicator,I,921454,287542,762848,659290,329247
Country_350,C350,Indicator,I,182589,463311,96733,115693,687554
Country_351,C351,Indicator,I,331934,932204,493377,941642,64793
Country_352,C352,Indicator,I,404376,372382,51893,691972,216450
Country_353,C353,Indicator,I,917214,577931,892358,659238,764488
Country_354,C354,Indicator,I,313849,162854,425386,513980,824325
Country_355,C355,Indicator,I,843614,294425,755640,280927,706363
Country_356,C356,Indicator,I,573779,915692,418440,396749,708174
Country_357,C357,Indicator,I,503764,863238,162823,194237,520482
Country_358,C358,Indicator,I,235814,466885,534953,60090,171070
Country_359,C359,Indicator,I,295898,764921,30433,31478,929693
Country_360,C360,Indicator,I,902229,826940,498337,977270,858250
Country_361,C361,Indicator,I,275353,768283,884642,659297,645656
Country_362,C362,Indicator,I,825625,110854,176006,74004,334659
Country_363,C363,Indicator,I,706146,386673,380344,163481,478668
Country_364,C364,Indicator,I,771364,146745,456682,95088,861358
Country_365,C365,Indicator,I,540844,502763,983798,80157,311450
Country_366,C366,Indicator,I,639061,913872,614370,677929,503144
Country_367,C367,Indicator,I,491678,605290,357927,945098,925531
Country_368,C368,Indicator,I,54642,454669,302912,43712,971205
Country_369,C369,Indicator,I,510096,995065,695283,649126,436372
Country_370,C370,Indicator,I,680261,808538,445342,56657,451572
Country_371,C371,Indicator,I,413424,168192,954913,229462,858597
Country_372,C372,Indicator,I,977514,206715,906286,361710,34367
Country_373,C373,Indicator,I,742047,556239,748715,799183,996722
Country_374,C374,Indicator,I,725736,696415,282018,457861,17822
Country_375,C375,Indicator,I,72711,529163,109511,376341,345000
Country_376,C376,Indicator,I,117840,752718,635209,480789,751540
Country_377,C377,Indicator,I,914562,353577,949314,325556,372224
Country_378,C378,Indicator,I,605028,996567,403177,953194,198944
Country_379,C379,Indicator,I,527426,391674,694960,879909,261793
Country_380,C380,Indicator,I,247134,452170,178628,730395,90536
Country_381,C381,Indicator,I,439313,82767,813232,615868,65259
Country_382,C382,Indicator,I,151573,484152,410915,139063,761684
Country_383,C383,Indicator,I,985688,135893,836337,601667,696568
Country_384,C384,Indicator,I,157928,278602,780356,934995,569700
Country_385,C385,Indicator,I,225814,829216,792290,891303,319009
Country_386,C386,Indicator,I,310223,268216,785716,221593,529978
Country_387,C387,Indicator,I,506301,813715,229724,546470,82319
Country_388,C388,Indicator,I,292971,972240,567078,694488,158427
Country_389,C389,Indicator,I,232757,978415,585088,955554,952452
Country_390,C390,Indicator,I,425341,200922,734236,892353,502190
Country_391,C391,Indicator,I,715769,810371,729530,61963,80034
Country_392,C392,Indicator,I,185135,41448,524757,458,501493
Country_393,C393,Indicator,I,392031,737298,421765,919721,56522
Country_394,C394,Indicator,I,754296,728133,198980,865725,629762
Country_395,C395,Indicator,I,682533,598625,651114,705851,51040
Country_396,C396,Indicator,I,404999,163209,986930,699717,405018
Country_397,C397,Indicator,I,504576,838249,104741,129442,185489
Country_398,C398,Indicator,I,68771,6018,776694,472837,872533
Country_399,C399,Indicator,I,874145,598088,35198,565562,358595
Country_400,C400,Indicator,I,652035,751161,812661,574347,703275
Country_401,C401,Indicator,I,711820,461396,230334,58157,835993
Country_402,C402,Indicator,I,756243,388890,998896,136975,442403
Country_403,C403,Indicator,I,933091,364960,129894,396084,376038
Country_404,C404,Indicator,I,155090,873589,855303,694414,612280
Country_405,C405,Indicator,I,983540,142679,640050,958373,172876
Country_406,C406,Indicator,I,897979,129708,829092,847771,455401
Country_407,C407,Indicator,I,28467,292801,599459,227346,601524
Country_408,C408,Indicator,I,355854,111539,364336,787688,527430
Country_409,C409,Indicator,I,794858,835921,375833,532584,45451
Country_410,C410,Indicator,I,869203,950465,367546,949047,140951
Country_411,C411,Indicator,I,87913,768386,570530,681172,116611
Country_412,C412,Indicator,I,91832,64317,944274,426674,523072
Country_413,C413,Indicator,I,98183,96232,909223,25876,334293
Country_414,C414,Indicator,I,149145,303262,464565,223443,47355
Country_415,C415,Indicator,I,887560,821688,262339,293261,861831
Country_416,C416,Indicator,I,939037,45234,98991,905812,607929
Country_417,C417,Indicator,I,102778,307085,915843,39959,788720
Country_418,C418,Indicator,I,89617,875803,827152,137262,346302
Country_419,C419,Indicator,I,633621,283198,589006,833435,385088
Country_420,C420,Indicator,I,499093,601192,407672,30796,19777
Country_421,C421,Indicator,I,907205,40485,82692,99966,581511
Country_422,C422,Indicator,I,41742,800889,553736,661864,117851
Country_423,C423,Indicator,I,581091,795334,533945,187673,592112
Country_424,C424,Indicator,I,964254,406025,873285,342712,636610
Country_425,C425,Indicator,I,25582,194526,47084,769213,673849
Country_426,C426,Indicator,I,914687,877578,427502,672921,215801
Country_427,C427,Indicator,I,345001,689677,285252,620995,570981
Country_428,C428,Indicator,I,536770,561696,697679,857593,862200
Country_429,C429,Indicator,I,890992,414699,727058,136167,944280
Country_430,C430,Indicator,I,88752,859535,541209,278183,923758
Country_431,C431,Indicator,I,934879,780890,528864,641749,631462
Country_432,C432,Indicator,I,307360,365231,987206,450118,197723
Country_433,C433,Indicator,I,736074,782802,990700,475533,710462
Country_434,C434,Indicator,I,180159,179652,17450,597189,575882
Country_435,C435,Indicator,I,35737,427615,580152,392664,310414
Country_436,C436,Indicator,I,956508,376937,13390,753869,551434
Country_437,C437,Indicator,I,144761,249715,35580,722057,525055
Country_438,C438,Indicator,I,232121,758958,98062,988667,173972
Country_439,C439,Indicator,I,468249,432205,282352,327848,456952
Country_440,C440,Indicator,I,548960,778806,874476,1663,731047
Country_441,C441,Indicator,I,58452,315749,236626,506349,902
Country_442,C442,Indicator,I,401601,737352,790660,151084,215023
Country_443,C443,Indicator,I,313525,863280,960342,352048,401270
Country_444,C444,Indicator,I,565965,882960,353204,23838,356685
Country_445,C445,Indicator,I,576628,533164,190201,633447,175875
Country_446,C446,Indicator,I,141947,517612,978627,935336,733938
Country_447,C447,Indicator,I,982413,286784,266574,397764,460942
Country_448,C448,Indicator,I,391385,669605,103106,744751,846923
Country_449,C449,Indicator,I,789432,408187,736876,197509,427027
Country_450,C450,Indicator,I,75255,956388,801286,697172,633196
Country_451,C451,Indicator,I,734743,259410,974222,571911,905450
Country_452,C452,Indicator,I,746966,803809,370713,439214,903068
Country_453,C453,Indicator,I,325817,253877,517484,35963,794533
Country_454,C454,Indicator,I,419327,968636,265493,172427,854959
Country_455,C455,Indicator,I,790910,146291,187077,724670,910863
Country_456,C456,Indicator,I,879562,859867,849638,558517,956510
Country_457,C457,Indicator,I,470856,763664,600883,292615,412462
Country_458,C458,Indicator,I,506654,11834,421318,919494,940706
Country_459,C459,Indicator,I,171814,259592,702832,861045,108904
Country_460,C460,Indicator,I,313674,359469,158511,665932,717744
Country_461,C461,Indicator,I,953564,881892,111632,981309,508424
Country_462,C462,Indicator,I,145051,438888,587554,773708,370459
Country_463,C463,Indicator,I,159088,882276,997179,490676,485017
